city,country,latitude,longitude,forecast_date,extracted_at,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,source,risk_score,weather_score,temp_category,precipitation_category,wind_category
Casablanca,Morocco,33.5992,-7.62,2026-09-19,2026-09-19 12:01:45.530247+00:00,26.5,18.9,0.0,0,11.9,32.8,45,open-meteo,32.8,65.04,Comfortable,No Rain,Light
Casablanca,Morocco,33.5992,-7.62,2026-09-20,2026-09-19 12:01:45.530247+00:00,29.4,20.3,0.0,0,10.4,30.6,45,open-meteo,30.6,66.58,Comfortable,No Rain,Light
Casablanca,Morocco,33.5992,-7.62,2026-09-21,2026-09-19 12:01:45.530247+00:00,29.0,20.9,0.0,0,10.6,31.7,45,open-meteo,31.7,65.81,Comfortable,No Rain,Light
Casablanca,Morocco,33.5992,-7.62,2026-09-22,2026-09-19 12:01:45.530247+00:00,28.8,20.5,0.0,0,10.4,30.6,45,open-meteo,30.6,66.58,Comfortable,No Rain,Light
Casablanca,Morocco,33.5992,-7.62,2026-09-23,2026-09-19 12:01:45.530247+00:00,28.0,18.9,0.0,0,10.2,29.9,45,open-meteo,29.9,67.07,Comfortable,No Rain,Light
Casablanca,Morocco,33.5992,-7.62,2026-09-24,2026-09-19 12:01:45.530247+00:00,29.4,17.9,0.0,0,11.3,30.2,45,open-meteo,30.2,66.86,Comfortable,No Rain,Light
Casablanca,Morocco,33.5992,-7.62,2026-09-25,2026-09-19 12:01:45.530247+00:00,26.5,20.0,0.0,0,12.0,33.1,45,open-meteo,33.1,64.83,Comfortable,No Rain,Light
Tangier,Morocco,35.7767,-5.8039,2026-09-19,2026-09-19 12:01:45.620368+00:00,27.6,22.9,0.0,0,32.1,75.6,2,open-meteo,75.6,44.08,Comfortable,No Rain,Moderate
Tangier,Morocco,35.7767,-5.8039,2026-09-20,2026-09-19 12:01:45.620368+00:00,28.5,23.9,0.0,0,29.9,72.0,2,open-meteo,72.0,46.6,Comfortable,No Rain,Moderate
Tangier,Morocco,35.7767,-5.8039,2026-09-21,2026-09-19 12:01:45.620368+00:00,28.8,22.7,0.0,0,27.9,65.9,1,open-meteo,65.9,53.87,Comfortable,No Rain,Moderate
Tangier,Morocco,35.7767,-5.8039,2026-09-22,2026-09-19 12:01:45.620368+00:00,28.2,21.4,0.0,0,24.3,58.0,1,open-meteo,58.0,59.4,Comfortable,No Rain,Moderate
Tangier,Morocco,35.7767,-5.8039,2026-09-23,2026-09-19 12:01:45.620368+00:00,28.8,20.9,0.0,0,22.1,51.8,1,open-meteo,51.8,63.74,Comfortable,No Rain,Moderate
Tangier,Morocco,35.7767,-5.8039,2026-09-24,2026-09-19 12:01:45.620368+00:00,28.0,22.5,0.0,0,24.9,45.7,1,open-meteo,45.7,68.01,Comfortable,No Rain,Moderate
Tangier,Morocco,35.7767,-5.8039,2026-09-25,2026-09-19 12:01:45.620368+00:00,24.8,18.3,0.0,0,10.1,20.9,45,open-meteo,20.9,73.37,Comfortable,No Rain,Light
